日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
1/21,V2X SW Engineer (車間通訊軟體工程師),亞勳科技股份有限公司,新竹縣竹北市嘉豐十一路一段100號7樓之2,"60,000",Job Description (職務說明)：Works with the global team to develop automotive grade V2X software on multiple platforms.Details,新竹縣竹北市,經歷不拘,大學,員工30人,79360,www.104.com.tw/job/79360?jobsource=jolist_b_relevance
2/14,前端工程師 Frontend Developer,賽鐸股份有限公司,台中市西區台灣大道二段285號27樓,"38,000","1. 1 年以上的前端工程師經驗2. 具有JavaScript、Bootstrap的經驗3. 精通網頁標記(Web Markup),包含HTML, CSS4. Git相關經驗☞ 加分條件： ◻︎ SAP Commerce / Java",台中市西區,經歷不拘,大學,員工25人,78weg,www.104.com.tw/job/78weg?jobsource=jolist_b_relevance
2/11,3D/VR/AR Engineering Developer 3D演算法開發工程師,台灣萬和科技有限公司,台北市中山區南京東路3段168號11樓,"1,600",我們在台北正在尋找數位了解3D三維重建演算法，能熟練使用Photogrammetry、SLAM、SfM、MVSNet 等算法、孰悉3D建模過程的工程師，共同參與公司進軍元宇宙創意設計工具領域的計畫。工作要求1. 碩士以上學歷，資訊工程、數學,台北市中山區,3年以上,碩士,員工20人,79ob9,www.104.com.tw/job/79ob9?jobsource=jolist_b_relevance
2/08,嵌入式軟體工程師,和旺昌噴霧股份有限公司,新北市三重區,"60,000",https://www.careers.lorric.com/研發優勢1. 從流體 、電路、韌體、軟體、機械到機構，皆由 LORRIC 團隊研發與設計。2. 重視基礎原理，與交大、台大、工研院等多所研究單位長年產學合作。3. 公司擁有廣,新北市三重區,經歷不拘,大學,員工25人,7e6ld,www.104.com.tw/job/7e6ld?jobsource=jolist_b_relevance
2/14,【2022年研發替代役/預聘】軟體工程師-林口,神準科技股份有限公司,桃園市龜山區復興三路500號(近林口長庚),待遇面議,1.Internet protocol porting2.Application development3.Embedded system development4.GUI/UI development,桃園市龜山區,經歷不拘,碩士,員工1200人,5vf7o,www.104.com.tw/job/5vf7o?jobsource=jolist_b_relevance
2/14,軟體研發工程師 (Software R&D Engineer),天鏡科技股份有限公司,新北市新莊區復興路一段 3 號之 2 (5 樓),"70,000", 程式設計。  * 熟悉物件導向程式設計、物件導向設計模式、物件導向系統分析與設計、軟體工程、UML 2.5。  * 熟悉 docker 的操作，會撰寫 Dockerfile 及 docker-compose.yml。  * 熟悉微服務架,新北市新莊區,經歷不拘,碩士,員工25人,6i99o,www.104.com.tw/job/6i99o?jobsource=jolist_b_relevance
2/15,軟體研發工程師,巧禾數位設計股份有限公司,新北市中和區景新街347號8樓之8,"32,000",【工作內容】1.負責程式撰寫設計2.規劃執行系統架構及模組之設計3.進行軟體之測試與修改4.協助研發軟體新技術與新工具【技能需求】1.掌握程式開發語言(如PHP、Python、Node.js、C#、Java、Swift等等，會其中幾,新北市中和區,經歷不拘,學歷不拘,員工10人,64aq6,www.104.com.tw/job/64aq6?jobsource=jolist_b_relevance
2/14,人工智慧軟體應用工程師,訊連科技股份有限公司,新北市新店區民權路100號15F(新店線大坪林捷運站1號出口),待遇面議,"工科系所畢業C/C++, Java精通至少一種2. 對人工智慧、機器學習充滿熱情3. 熟windows programming尤佳【關於人臉辨識系統-FaceMe】訊連科技推出FaceMe® Security 7.0 智慧安控軟體重大升級",新北市新店區,經歷不拘,大學,上市上櫃,6cugv,www.104.com.tw/job/6cugv?jobsource=jolist_b_relevance
2/14,Java工程師,翰霖科技資訊股份有限公司,台北市內湖區,待遇面議,1. 1.5至3年系統軟體開發經驗2.熟Java程式設計、Node.js、React、JavaScript、JQuery、AJAX、Spring或其他Framework ,台北市內湖區,經歷不拘,專科,員工80人,7ayh3,www.104.com.tw/job/7ayh3?jobsource=jolist_b_relevance
2/17,Android 工程師,翰霖科技資訊股份有限公司,台北市內湖區,待遇面議,1.二年以上Android 或Kotlin應用開發經驗，具底層 Framework 開發經驗加分。2.具備良好的JAVA基礎。3.熟悉UI原件運用，如Activity、Service、Content Provider、Broadcast Receiver、並能理解Android生命週期。4.熟悉Git，SVN版本管理工具，熟悉RESTful API串接。.熟悉Gradle專案建置工具。6.熟悉流行的APP開源框架。,台北市內湖區,1年以上,高中,員工80人,6jv58,www.104.com.tw/job/6jv58?jobsource=jolist_b_relevance
2/11,SAP軟體工程師,中良工業股份有限公司,台中市沙鹿區清泉里忠貞路325號,"40,000",1. SAP 外掛程式之需求訪談、設計、開發、測試、後續維護。2. 協助使用者端 SAP 問題排除。3. SAP ERP 模組維護及異常處理。4. SAP Rollout導入。. RFC /Smartform / 報表程式。6. 主管交辦事項。,台中市沙鹿區,3年以上,大學,員工1500人,7e10q,www.104.com.tw/job/7e10q?jobsource=jolist_b_relevance
2/14,軟體工程師(MIS),華凌光電股份有限公司,台中市大雅區科雅路31號5樓,"32,000",1.參與溝通，釐清需求及討論技術上可行性分析。2.系統、專案、RPA等設計開發與維護。3.具RPA機器人撰寫經驗佳(無經驗亦可)。4.具程式設計語法、資料庫結構經驗。.主管交辦事項。,台中市大雅區,經歷不拘,專科,員工1200人,6i9rc,www.104.com.tw/job/6i9rc?jobsource=jolist_b_relevance
2/08,嵌入式韌體工程師,祥寶科技股份有限公司,台中市西區忠明南路303號7樓,"35,000",韌體設計( C++)。對微處理機系統控制有概念與工作熱忱。,台中市西區,1年以上,大學,員工40人,6mr0w,www.104.com.tw/job/6mr0w?jobsource=jolist_b_relevance
2/17,Senior Front-end Engineer 資深前端工程師,美商訊能集思智能科技股份有限公司台灣分公司,台北市中正區忠孝東路一段140號10樓,待遇面議,您想成為一名頂尖的前端工程師嗎？ 您是否憧憬在人工智能和機器學習領域，跟一群同樣熱愛 coding 的團隊工作，Synergies 擁有一群專業且熱忱的頂尖技術人員，所開發的產品透過大數據算法與分析，引領企業智能轉型，幫助企業加快決策。誠摯,台北市中正區,經歷不拘,大學,距捷運善導寺站230公尺,7ivyt,www.104.com.tw/job/7ivyt?jobsource=jolist_b_relevance
2/11,Android App 工程師,建漢科技股份有限公司,新竹市新竹科學工業園區園區三路99號,待遇面議,置應用開發與數據應用整合經驗)6. Network protocol：https、udp、tcp、ssl、mqtt、tls。7. 軟體工程系統開發、韌體工程開發、網路資料傳輸、功能測試(function test)、問題追蹤處理(Bug,新竹市,經歷不拘,大學,上市上櫃,6zgi8,www.104.com.tw/job/6zgi8?jobsource=jolist_b_relevance
